,online_order,book_table,rate,votes,rest_type,cost,type,city
0,Yes,Yes,4,775,Casual Dining,800,Buffet,Banashankari
1,Yes,No,4,787,Casual Dining,800,Buffet,Banashankari
2,Yes,No,4,918,Other Rest Type,800,Buffet,Banashankari
3,No,No,4,88,Quick Bites,300,Buffet,Banashankari
4,No,No,4,166,Casual Dining,600,Buffet,Banashankari
5,Yes,No,4,286,Casual Dining,600,Buffet,Banashankari
6,No,No,4,8,Casual Dining,800,Buffet,Banashankari
7,Yes,Yes,5,2556,"Casual Dining, Cafe",600,Cafes,Banashankari
8,Yes,No,4,324,Cafe,700,Cafes,Banashankari
9,Yes,No,4,504,Cafe,550,Cafes,Banashankari
10,Yes,No,4,402,Cafe,500,Cafes,Banashankari
11,Yes,Yes,4,150,Cafe,600,Cafes,Banashankari
12,Yes,Yes,4,164,Cafe,500,Cafes,Banashankari
13,No,No,4,424,Cafe,450,Cafes,Banashankari
14,Yes,No,4,918,Other Rest Type,800,Cafes,Banashankari
15,Yes,No,4,90,Cafe,650,Cafes,Banashankari
16,Yes,No,4,133,Cafe,800,Cafes,Banashankari
17,Yes,No,4,144,Cafe,700,Cafes,Banashankari
18,No,No,4,93,Cafe,300,Cafes,Banashankari
19,Yes,No,3,13,Cafe,400,Cafes,Banashankari
20,Yes,No,3,62,Cafe,400,Cafes,Banashankari
21,Yes,No,4,180,Cafe,500,Cafes,Banashankari
22,No,No,4,28,Cafe,900,Cafes,Banashankari
23,Yes,No,4,62,Other Rest Type,600,Cafes,Banashankari
24,No,No,4,31,Cafe,300,Cafes,Banashankari
25,No,No,3,11,Cafe,600,Cafes,Banashankari
26,Yes,No,4,75,Other Rest Type,200,Cafes,Banashankari
27,No,No,3,4,Cafe,500,Cafes,Banashankari
28,No,No,3,23,Cafe,550,Cafes,Banashankari
29,No,No,4,148,"Casual Dining, Cafe",550,Cafes,Banashankari
30,Yes,No,4,219,Cafe,600,Cafes,Banashankari
31,Yes,No,3,506,Quick Bites,500,Delivery,Banashankari
32,Yes,No,4,35,Delivery,500,Delivery,Banashankari
33,Yes,No,4,172,Delivery,750,Delivery,Banashankari
34,Yes,No,4,415,Quick Bites,500,Delivery,Banashankari
35,Yes,No,4,230,Delivery,650,Delivery,Banashankari
36,Yes,No,3,91,Quick Bites,400,Delivery,Banashankari
37,Yes,No,4,1647,Casual Dining,600,Delivery,Banashankari
38,Yes,No,4,4884,Casual Dining,750,Delivery,Banashankari
39,Yes,No,4,17,Quick Bites,150,Delivery,Banashankari
40,Yes,No,4,133,Quick Bites,200,Delivery,Banashankari
41,No,No,4,28,Mess,300,Delivery,Banashankari
42,Yes,No,4,286,Quick Bites,500,Delivery,Banashankari
43,Yes,No,4,540,Quick Bites,800,Delivery,Banashankari
44,Yes,Yes,5,2556,"Casual Dining, Cafe",600,Delivery,Banashankari
45,No,No,4,36,Delivery,400,Delivery,Banashankari
46,Yes,No,4,244,Quick Bites,300,Delivery,Banashankari
47,Yes,No,4,804,Casual Dining,450,Delivery,Banashankari
48,Yes,No,4,679,Casual Dining,850,Delivery,Banashankari
49,Yes,No,3,245,Quick Bites,300,Delivery,Banashankari
50,No,No,4,21,Quick Bites,450,Delivery,Banashankari
51,Yes,No,4,28,Quick Bites,150,Delivery,Banashankari
52,No,No,4,345,Dessert Parlor,400,Delivery,Banashankari
53,Yes,No,4,618,Casual Dining,750,Delivery,Banashankari
54,No,No,4,1047,Quick Bites,450,Delivery,Banashankari
55,Yes,No,4,627,Delivery,450,Delivery,Banashankari
56,Yes,No,4,104,Quick Bites,300,Delivery,Banashankari
57,Yes,Yes,4,354,Casual Dining,800,Delivery,Banashankari
58,No,No,4,55,Quick Bites,200,Delivery,Banashankari
59,Yes,No,4,17,Dessert Parlor,400,Delivery,Banashankari
60,No,No,4,244,Casual Dining,800,Delivery,Banashankari
61,Yes,Yes,4,163,Casual Dining,800,Delivery,Banashankari
62,Yes,No,4,58,Quick Bites,150,Delivery,Banashankari
63,No,Yes,4,808,Casual Dining,850,Delivery,Banashankari
64,No,No,4,78,Other Rest Type,150,Delivery,Banashankari
65,Yes,No,4,1720,Quick Bites,400,Delivery,Banashankari
66,Yes,No,4,34,Quick Bites,100,Delivery,Banashankari
67,No,No,4,868,Pub,1200,Delivery,Banashankari
68,No,No,4,39,Bakery,300,Delivery,Banashankari
69,Yes,No,3,71,Quick Bites,600,Delivery,Banashankari
70,Yes,No,4,6,"Takeaway, Delivery",500,Delivery,Banashankari
71,No,No,4,520,Quick Bites,300,Delivery,Banashankari
72,No,No,5,0,Quick Bites,150,Delivery,Banashankari
73,No,No,3,84,Delivery,700,Delivery,Banashankari
74,No,No,4,299,Quick Bites,300,Delivery,Banashankari
75,No,No,5,0,"Takeaway, Delivery",500,Delivery,Banashankari
76,Yes,No,4,558,Quick Bites,150,Delivery,Banashankari
77,Yes,No,4,28,Quick Bites,300,Delivery,Banashankari
78,No,No,4,22,Quick Bites,500,Delivery,Banashankari
79,No,No,4,39,Quick Bites,350,Delivery,Banashankari
80,Yes,No,4,153,Fine Dining,500,Delivery,Banashankari
