,online_order,book_table,rate,votes,rest_type,cost,type,city
1738,No,No,3,35,Delivery,450,Delivery,Bannerghatta Road
4943,No,No,4,46,Other Rest Type,2000,Drinks & nightlife,Bellandur
2916,Yes,No,4,11,Quick Bites,100,Delivery,Basavanagudi
1595,No,No,3,4,Food Court,200,Delivery,Bannerghatta Road
3214,Yes,No,4,27,Dessert Parlor,250,Desserts,Basavanagudi
99,Yes,No,4,71,Dessert Parlor,400,Delivery,Banashankari
4734,Yes,No,3,66,Quick Bites,800,Dine-out,Bellandur
3403,Yes,No,4,25,Quick Bites,350,Dine-out,Basavanagudi
4809,No,Yes,5,881,Casual Dining,1600,Dine-out,Bellandur
4040,No,No,3,6,"Takeaway, Delivery",1000,Delivery,Bellandur
4915,No,No,3,5,Quick Bites,500,Dine-out,Bellandur
191,Yes,No,4,287,Quick Bites,350,Delivery,Banashankari
4596,No,No,4,11,Quick Bites,400,Dine-out,Bellandur
2672,Yes,No,3,9,Dessert Parlor,250,Delivery,Basavanagudi
2525,No,No,4,46,Cafe,400,Cafes,Basavanagudi
879,Yes,No,3,102,Casual Dining,600,Buffet,Bannerghatta Road
1962,No,No,4,149,Casual Dining,400,Dine-out,Bannerghatta Road
2704,Yes,No,3,17,Quick Bites,100,Delivery,Basavanagudi
2581,Yes,No,4,50,Quick Bites,400,Delivery,Basavanagudi
4876,Yes,No,4,32,Casual Dining,450,Dine-out,Bellandur
3631,No,No,5,0,Casual Dining,800,Dine-out,Basavanagudi
4870,No,No,4,17,Mess,400,Dine-out,Bellandur
4085,No,No,4,213,Casual Dining,400,Delivery,Bellandur
3626,No,No,3,6,Casual Dining,500,Dine-out,Basavanagudi
1699,No,Yes,4,49,Casual Dining,900,Delivery,Bannerghatta Road
3896,Yes,No,4,82,Beverage Shop,400,Delivery,Bellandur
1837,No,No,3,7,Delivery,500,Desserts,Bannerghatta Road
3779,Yes,No,4,35,Cafe,650,Cafes,Bellandur
2533,Yes,No,4,50,Cafe,550,Cafes,Basavanagudi
3536,No,No,4,39,Casual Dining,450,Dine-out,Basavanagudi
3970,Yes,No,4,49,Quick Bites,250,Delivery,Bellandur
1634,No,No,5,0,"Takeaway, Delivery",100,Delivery,Bannerghatta Road
166,Yes,Yes,4,364,Casual Dining,1200,Delivery,Banashankari
2574,Yes,No,4,332,Quick Bites,300,Delivery,Basavanagudi
3393,No,No,3,35,Quick Bites,200,Dine-out,Basavanagudi
1024,Yes,No,4,131,Cafe,400,Delivery,Bannerghatta Road
1589,No,No,3,54,Quick Bites,500,Delivery,Bannerghatta Road
3226,Yes,No,4,1778,Quick Bites,200,Desserts,Basavanagudi
1272,Yes,No,3,64,Casual Dining,750,Delivery,Bannerghatta Road
3992,Yes,No,3,9,Quick Bites,400,Delivery,Bellandur
4914,Yes,No,3,8,Quick Bites,400,Dine-out,Bellandur
1174,Yes,No,4,20,Quick Bites,350,Delivery,Bannerghatta Road
3196,Yes,No,3,13,Other Rest Type,300,Desserts,Basavanagudi
152,Yes,No,4,340,"Takeaway, Delivery",500,Delivery,Banashankari
2615,Yes,No,4,80,Quick Bites,250,Delivery,Basavanagudi
4687,Yes,No,4,37,Quick Bites,400,Dine-out,Bellandur
1972,Yes,No,3,106,Casual Dining,450,Dine-out,Bannerghatta Road
2765,Yes,No,4,79,Casual Dining,600,Delivery,Basavanagudi
4257,No,No,4,95,Casual Dining,700,Delivery,Bellandur
2980,No,No,5,0,Quick Bites,350,Delivery,Basavanagudi
2859,Yes,No,4,12,Quick Bites,200,Delivery,Basavanagudi
1084,Yes,No,3,38,Quick Bites,300,Delivery,Bannerghatta Road
4821,Yes,No,4,894,Cafe,600,Dine-out,Bellandur
1360,Yes,No,5,0,Quick Bites,250,Delivery,Bannerghatta Road
3720,No,No,3,4,Quick Bites,400,Dine-out,Basavanagudi
31,Yes,No,3,506,Quick Bites,500,Delivery,Banashankari
937,Yes,No,4,739,Delivery,500,Delivery,Bannerghatta Road
2330,Yes,No,5,0,Other Rest Type,250,Dine-out,Bannerghatta Road
1932,Yes,No,4,21,Dessert Parlor,200,Desserts,Bannerghatta Road
3469,Yes,Yes,4,354,Casual Dining,800,Dine-out,Basavanagudi
309,Yes,No,3,102,Casual Dining,400,Delivery,Banashankari
2450,No,No,5,0,Quick Bites,200,Dine-out,Bannerghatta Road
1448,Yes,No,4,9,Delivery,250,Delivery,Bannerghatta Road
3109,No,No,4,31,Quick Bites,200,Delivery,Basavanagudi
495,No,No,4,356,Sweet Shop,150,Desserts,Banashankari
205,Yes,No,4,32,Quick Bites,150,Delivery,Banashankari
2669,Yes,No,5,0,Quick Bites,300,Delivery,Basavanagudi
3353,No,No,4,238,Quick Bites,600,Dine-out,Basavanagudi
3825,Yes,Yes,4,533,Casual Dining,600,Delivery,Bellandur
305,Yes,No,4,216,Cafe,500,Delivery,Banashankari
3788,No,No,4,47,Cafe,500,Cafes,Bellandur
3905,Yes,No,4,37,Quick Bites,400,Delivery,Bellandur
1061,Yes,No,4,183,Quick Bites,250,Delivery,Bannerghatta Road
843,No,No,5,0,Quick Bites,150,Dine-out,Banashankari
4267,Yes,No,4,14,Quick Bites,200,Delivery,Bellandur
4758,No,No,5,0,Quick Bites,200,Dine-out,Bellandur
211,Yes,No,4,105,Casual Dining,700,Delivery,Banashankari
3711,No,No,3,4,Quick Bites,200,Dine-out,Basavanagudi
679,Yes,No,4,24,Quick Bites,250,Dine-out,Banashankari
565,Yes,No,4,504,Cafe,550,Dine-out,Banashankari
2577,Yes,No,3,261,Casual Dining,500,Delivery,Basavanagudi
3575,Yes,No,4,84,Quick Bites,250,Dine-out,Basavanagudi
680,No,No,5,0,Quick Bites,100,Dine-out,Banashankari
180,Yes,Yes,4,291,Cafe,650,Delivery,Banashankari
2656,Yes,No,4,85,Quick Bites,300,Delivery,Basavanagudi
1212,Yes,No,3,34,Quick Bites,150,Delivery,Bannerghatta Road
2312,Yes,No,3,18,Cafe,500,Dine-out,Bannerghatta Road
4272,No,No,5,0,Quick Bites,400,Delivery,Bellandur
278,Yes,Yes,4,1875,Casual Dining,1200,Delivery,Banashankari
1108,Yes,No,3,34,Quick Bites,300,Delivery,Bannerghatta Road
1860,Yes,No,3,25,"Bakery, Quick Bites",400,Desserts,Bannerghatta Road
432,Yes,No,5,0,Quick Bites,400,Delivery,Banashankari
289,Yes,No,5,0,Dessert Parlor,100,Delivery,Banashankari
1027,Yes,No,3,6,Quick Bites,300,Delivery,Bannerghatta Road
535,No,No,4,98,Other Rest Type,400,Desserts,Banashankari
3426,No,No,3,4,Quick Bites,400,Dine-out,Basavanagudi
188,Yes,No,4,630,Quick Bites,200,Delivery,Banashankari
4015,Yes,No,4,44,Cafe,600,Delivery,Bellandur
3910,Yes,No,4,116,Casual Dining,600,Delivery,Bellandur
4766,No,No,4,25,Quick Bites,250,Dine-out,Bellandur
270,Yes,No,4,32,Sweet Shop,250,Delivery,Banashankari
3493,Yes,No,4,1647,Casual Dining,600,Dine-out,Basavanagudi
4628,No,No,3,12,Casual Dining,700,Dine-out,Bellandur
2154,No,No,3,4,Quick Bites,400,Dine-out,Bannerghatta Road
3691,Yes,No,5,0,Quick Bites,200,Dine-out,Basavanagudi
111,No,No,3,29,Quick Bites,150,Delivery,Banashankari
3235,Yes,No,4,152,Dessert Parlor,350,Desserts,Basavanagudi
220,Yes,No,4,412,Casual Dining,700,Delivery,Banashankari
627,No,No,5,0,"Beverage Shop, Quick Bites",150,Dine-out,Banashankari
1432,Yes,No,3,57,Quick Bites,400,Delivery,Bannerghatta Road
3352,Yes,No,4,275,Quick Bites,100,Dine-out,Basavanagudi
4094,No,No,4,246,Casual Dining,1200,Delivery,Bellandur
790,Yes,No,4,233,Casual Dining,800,Dine-out,Banashankari
3018,No,No,3,9,Quick Bites,300,Delivery,Basavanagudi
461,Yes,No,4,232,Casual Dining,750,Delivery,Banashankari
4401,Yes,No,4,40,Quick Bites,150,Delivery,Bellandur
551,No,No,5,0,Other Rest Type,350,Desserts,Banashankari
1833,No,No,4,102,Bakery,400,Desserts,Bannerghatta Road
2775,Yes,No,4,54,Cafe,600,Delivery,Basavanagudi
198,Yes,No,4,264,Quick Bites,200,Delivery,Banashankari
2585,Yes,No,4,34,Quick Bites,100,Delivery,Basavanagudi
402,Yes,No,4,218,Casual Dining,800,Delivery,Banashankari
3050,Yes,No,5,0,Quick Bites,200,Delivery,Basavanagudi
2133,Yes,No,3,33,Quick Bites,250,Dine-out,Bannerghatta Road
4762,No,No,3,6,Other Rest Type,500,Dine-out,Bellandur
3289,No,Yes,4,1037,Casual Dining,1000,Dine-out,Basavanagudi
4865,Yes,No,3,68,Quick Bites,600,Dine-out,Bellandur
4461,Yes,No,4,19,Casual Dining,600,Delivery,Bellandur
650,Yes,No,4,28,Quick Bites,150,Dine-out,Banashankari
708,Yes,No,4,80,Quick Bites,250,Dine-out,Banashankari
1859,Yes,No,3,25,Dessert Parlor,500,Desserts,Bannerghatta Road
4854,Yes,No,3,213,Casual Dining,600,Dine-out,Bellandur
1438,Yes,No,3,57,Casual Dining,650,Delivery,Bannerghatta Road
3365,Yes,No,4,549,Quick Bites,300,Dine-out,Basavanagudi
2609,Yes,No,4,97,Quick Bites,350,Delivery,Basavanagudi
314,Yes,No,4,53,Delivery,600,Delivery,Banashankari
1197,Yes,No,3,100,Quick Bites,250,Delivery,Bannerghatta Road
4473,No,No,4,83,Dessert Parlor,200,Desserts,Bellandur
113,No,No,5,0,Dessert Parlor,150,Delivery,Banashankari
960,Yes,No,5,0,Quick Bites,300,Delivery,Bannerghatta Road
2906,Yes,No,4,42,Dessert Parlor,400,Delivery,Basavanagudi
2254,Yes,No,4,374,Casual Dining,750,Dine-out,Bannerghatta Road
1618,No,No,5,0,"Takeaway, Delivery",190,Delivery,Bannerghatta Road
3318,Yes,No,3,58,Cafe,400,Dine-out,Basavanagudi
4998,No,Yes,4,334,Casual Dining,1200,Buffet,Brigade Road
4318,No,No,4,10,Casual Dining,600,Delivery,Bellandur
3908,Yes,No,4,78,Quick Bites,300,Delivery,Bellandur
4791,Yes,No,3,10,Quick Bites,800,Dine-out,Bellandur
3410,No,No,5,0,Quick Bites,200,Dine-out,Basavanagudi
4527,No,No,4,177,Dessert Parlor,300,Desserts,Bellandur
1807,Yes,No,3,8,Quick Bites,150,Delivery,Bannerghatta Road
3560,Yes,No,4,23,Quick Bites,300,Dine-out,Basavanagudi
3193,Yes,No,4,21,Dessert Parlor,200,Desserts,Basavanagudi
4028,Yes,Yes,4,715,Casual Dining,1500,Delivery,Bellandur
2218,Yes,No,5,0,Quick Bites,200,Dine-out,Bannerghatta Road
4190,Yes,No,4,24,Bakery,500,Delivery,Bellandur
3012,Yes,Yes,4,142,Casual Dining,1000,Delivery,Basavanagudi
2575,Yes,No,4,1975,Casual Dining,800,Delivery,Basavanagudi
1808,Yes,No,5,0,Quick Bites,300,Delivery,Bannerghatta Road
1321,Yes,No,4,8,Quick Bites,200,Delivery,Bannerghatta Road
2857,Yes,No,3,6,Beverage Shop,100,Delivery,Basavanagudi
3321,Yes,No,3,4,Casual Dining,500,Dine-out,Basavanagudi
2267,No,No,4,915,Casual Dining,600,Dine-out,Bannerghatta Road
3014,Yes,No,4,8,Quick Bites,500,Delivery,Basavanagudi
789,Yes,No,4,155,Casual Dining,400,Dine-out,Banashankari
4023,Yes,No,5,0,"Takeaway, Delivery",200,Delivery,Bellandur
3100,No,No,4,39,Quick Bites,350,Delivery,Basavanagudi
3128,No,No,5,0,Bakery,400,Delivery,Basavanagudi
871,Yes,Yes,4,1538,Casual Dining,1000,Buffet,Bannerghatta Road
4342,No,No,5,0,Delivery,400,Delivery,Bellandur
1323,Yes,No,4,76,Quick Bites,150,Delivery,Bannerghatta Road
73,No,No,3,84,Delivery,700,Delivery,Banashankari
1747,No,No,5,0,Dessert Parlor,400,Delivery,Bannerghatta Road
1417,Yes,No,4,20,Quick Bites,300,Delivery,Bannerghatta Road
1338,Yes,No,3,17,Dessert Parlor,450,Delivery,Bannerghatta Road
3782,No,No,4,38,Other Rest Type,700,Cafes,Bellandur
4092,Yes,No,4,182,Quick Bites,400,Delivery,Bellandur
4574,No,No,4,368,Casual Dining,600,Dine-out,Bellandur
3804,Yes,No,3,414,Quick Bites,400,Delivery,Bellandur
3247,Yes,No,4,115,Sweet Shop,400,Desserts,Basavanagudi
2880,Yes,No,4,126,Quick Bites,400,Delivery,Basavanagudi
2274,Yes,No,4,1306,Casual Dining,750,Dine-out,Bannerghatta Road
